Country,Density,Mortality,GDP,Unemployment,emissions,continent,wage,population
Afghanistan,61.48055441,43.4,363.6740871,5.58,7380,Asia,0.43,39074280
Albania,102.6155474,8.4,6377.203096,..,5600,Europe,1.12,2877239
Algeria,18.54860331,19.2,3700.311195,..,145100,Africa,0.95,43984569
American Samoa,225.175,..,15743.31076,..,..,Africa,0.71,55169
Andorra,168.1574468,2.6,42072.3411,..,470,Europe,6.63,77287
Angola,27.67608406,47.2,1903.717405,15.8,30840,Africa,0.71,33032075
Antigua and Barbuda,211.8613636,5.2,16740.3482,..,500,North America,3.04,98069
Argentina,16.73874169,6.1,10636.11553,8.74,180120,South America,3.35,45267449
Armenia,98.03210397,9.5,4966.513471,10.01,5320,Europe,0.66,2964219
Aruba,591.8722222,..,29342.10073,..,..,..,0.71,106845
Australia,3.33957517,3.2,60444.50236,5.12,387200,Oceania,13.59,25550683
Austria,108.5288051,3,53637.70571,6.46,65830,Europe,0,9015361
Azerbaijan,122.6588022,16.6,5408.045352,6.04,31970,Europe,0.47,10154978
"Bahamas, The",40.74985015,11.4,28260.43255,..,2150,North America,0.55,..
Bahrain,1852.234177,5.9,26860.0725,..,30380,Asia,0,1711057
Bangladesh,1301.039034,22.9,2457.924049,..,78710,Asia,0.51,164972348
Barbados,653.9534884,11.1,17225.4623,..,1200,North America,3.13,287437
Belarus,45.83683173,2.1,7489.718947,3.9,56240,Europe,1.49,9448772
Belgium,382.8583884,3.4,51268.38804,6.26,92770,Europe,10.31,11598451
Belize,17.5375274,9.6,6228.267309,10.16,650,North America,1.65,398845
Benin,115.2615733,55.2,1361.100749,..,7360,Africa,0.39,12175480
Bermuda,1180.814815,..,111774.6691,..,..,North America,0,62237
Bhutan,20.38505506,22.5,3266.362774,4.8,1330,Asia,0.32,773069
Bolivia,11.15062494,20.2,3345.196588,5.09,22250,South America,1.36,11700207
Bosnia and Herzegovina,63.88560547,4.8,7230.198163,14.9,22650,Europe,1.04,3277152
Botswana,4.567294832,28.3,7238.796096,23.11,7870,Africa,0.29,2359585
Brazil,25.64281323,12.9,7696.785531,13.16,449840,South America,1.53,212821986
British Virgin Islands,207.48,9.9,..,..,..,..,1.36,30266
Brunei Darussalam,84.51100569,9.6,31448.91361,4.91,6710,Asia,0.35,..
Bulgaria,63.35430177,5.3,12222.23565,5.27,44040,Europe,1.57,6939018
Burkina Faso,80.77735015,51.8,893.077196,..,4070,Africa,0.34,20997293
Burundi,488.7544003,37.6,221.1578034,..,570,Africa,0,11948454
Cabo Verde,145.8870968,11.7,3557.837775,..,590,Africa,0.35,557026
Cambodia,93.97814978,21.3,1625.235022,0.4,11370,Asia,0,16758448
Cameroon,57.53766157,47,1666.932809,..,8320,Africa,0.35,26655083
Canada,4.349505388,4.4,52358.62164,7.53,562260,North America,9.51,37799407
Cayman Islands,283.9,..,88475.60088,..,..,..,2.92,65854
Central African Republic,8.759757938,75.4,461.1375109,..,310,Africa,0.37,4843954
Chad,13.64337675,66,685.690315,..,1020,Africa,0.6,16502877
Channel Islands,872.1363636,..,67960.727,..,..,..,2.92,174140
Chile,26.21700747,5.6,16247.40102,9.28,87040,South America,2,19144605
China,150.4397537,5.1,12617.50499,5.11,10017770,Asia,0.87,1440297825
Colombia,46.43223254,11.1,6182.707099,13.9,76060,South America,1.23,50976248
Comoros,441.4965073,39.3,1577.470841,5.86,250,Africa,0.71,872695
"Congo, Dem. Rep.",42.29907501,62.4,577.2092152,..,#N/A,#N/A,2.92,#N/A
"Congo, Rep.",17.08874378,32,2290.382994,..,#N/A,#N/A,0.4,#N/A
Costa Rica,100.9392284,6.2,12537.25675,15.14,8180,North America,1.84,5102158
Cote d'Ivoire,86.40958805,55.9,2613.378893,..,10380,..,2.46,..
Croatia,69.31736955,3.9,17747.78929,7.61,17480,Europe,2.92,4100719
Cuba,108.4428902,4,..,..,#N/A,#N/A,0.05,#N/A
Curacao,343.1734234,..,17717.59648,..,..,..,0.4,..
Cyprus,134.652381,2.3,31552.03516,7.51,7300,Europe,0,1208886
Czechia,136.1083491,2.2,26822.51419,2.8,#N/A,#N/A,2.92,#N/A
Denmark,146.418325,3.1,68007.75667,5.04,33330,Europe,0,5795780
Djibouti,47.69443486,45.9,3050.306282,..,470,Africa,0,990447
Dominica,96.54933333,32,7668.158132,..,170,North America,1.48,72017
Dominican Republic,233.9078286,27.3,8476.749688,7.7,23390,North America,0.4,10866667
Ecuador,71.66104445,10.7,5965.132871,4.55,37760,South America,2.46,17688599
"Egypt, Arab Rep.",109.7615932,16.2,3886.722498,7.44,#N/A,#N/A,1.28,#N/A
El Salvador,304.7377896,10.7,4664.311223,4.33,6380,North America,0.5,6491923
Equatorial Guinea,58.26973262,57.2,7506.667861,..,5630,Africa,1.05,1410419
